,Classifier_1,Classifier_2,Test,Null Hypo,Win,Lost,Bon,BWin,Blost,Dataset
105,GP,Stack-LR,Wilcoxon,Reject,Stack-LR,GP,Reject,Stack-LR,GP,LongMethod
106,GP,Stack-DT,Wilcoxon,Reject,Stack-DT,GP,Accept,,,LongMethod
107,GP,Stack-SVM,Wilcoxon,Reject,Stack-SVM,GP,Reject,Stack-SVM,GP,LongMethod
108,NB(B),NB(G),Wilcoxon,Reject,NB(G),NB(B),Reject,NB(G),NB(B),LongMethod
109,NB(B),NB(M),Wilcoxon,Reject,NB(M),NB(B),Reject,NB(M),NB(B),LongMethod
110,NB(B),LDA,Wilcoxon,Reject,LDA,NB(B),Reject,LDA,NB(B),LongMethod
111,NB(B),KNN,Wilcoxon,Reject,KNN,NB(B),Reject,KNN,NB(B),LongMethod
112,NB(B),Stack-LR,Wilcoxon,Reject,Stack-LR,NB(B),Reject,Stack-LR,NB(B),LongMethod
113,NB(B),Stack-DT,Wilcoxon,Reject,Stack-DT,NB(B),Reject,Stack-DT,NB(B),LongMethod
114,NB(B),Stack-SVM,Wilcoxon,Reject,Stack-SVM,NB(B),Reject,Stack-SVM,NB(B),LongMethod
115,NB(G),NB(M),Wilcoxon,Reject,NB(G),NB(M),Reject,NB(G),NB(M),LongMethod
116,NB(G),LDA,Wilcoxon,Reject,LDA,NB(G),Reject,LDA,NB(G),LongMethod
117,NB(G),KNN,Wilcoxon,Reject,NB(G),KNN,Accept,,,LongMethod
118,NB(G),Stack-LR,Wilcoxon,Reject,Stack-LR,NB(G),Reject,Stack-LR,NB(G),LongMethod
119,NB(G),Stack-DT,Wilcoxon,Reject,Stack-DT,NB(G),Reject,Stack-DT,NB(G),LongMethod
120,NB(G),Stack-SVM,Wilcoxon,Reject,Stack-SVM,NB(G),Reject,Stack-SVM,NB(G),LongMethod
121,NB(M),LDA,Wilcoxon,Reject,LDA,NB(M),Reject,LDA,NB(M),LongMethod
122,NB(M),KNN,Wilcoxon,Reject,KNN,NB(M),Accept,,,LongMethod
123,NB(M),Stack-LR,Wilcoxon,Reject,Stack-LR,NB(M),Reject,Stack-LR,NB(M),LongMethod
124,NB(M),Stack-DT,Wilcoxon,Reject,Stack-DT,NB(M),Reject,Stack-DT,NB(M),LongMethod
125,NB(M),Stack-SVM,Wilcoxon,Reject,Stack-SVM,NB(M),Reject,Stack-SVM,NB(M),LongMethod
126,LDA,KNN,Wilcoxon,Reject,LDA,KNN,Reject,LDA,KNN,LongMethod
127,LDA,Stack-LR,Wilcoxon,Reject,Stack-LR,LDA,Reject,Stack-LR,LDA,LongMethod
128,LDA,Stack-DT,Wilcoxon,Reject,Stack-DT,LDA,Reject,Stack-DT,LDA,LongMethod
129,LDA,Stack-SVM,Wilcoxon,Reject,Stack-SVM,LDA,Reject,Stack-SVM,LDA,LongMethod
130,KNN,Stack-LR,Wilcoxon,Reject,Stack-LR,KNN,Reject,Stack-LR,KNN,LongMethod
131,KNN,Stack-DT,Wilcoxon,Reject,Stack-DT,KNN,Reject,Stack-DT,KNN,LongMethod
132,KNN,Stack-SVM,Wilcoxon,Reject,Stack-SVM,KNN,Reject,Stack-SVM,KNN,LongMethod
133,Stack-LR,Stack-DT,Wilcoxon,Accept,,,Accept,,,LongMethod
134,Stack-LR,Stack-SVM,Wilcoxon,Accept,,,Accept,,,LongMethod
135,Stack-DT,Stack-SVM,Wilcoxon,Reject,Stack-SVM,Stack-DT,Accept,,,LongMethod
0,DT,LR,Wilcoxon,Reject,DT,LR,Reject,DT,LR,LongParameterList
1,DT,SVM(Lin),Wilcoxon,Reject,DT,SVM(Lin),Reject,DT,SVM(Lin),LongParameterList
2,DT,SVM(Poly),Wilcoxon,Reject,DT,SVM(Poly),Reject,DT,SVM(Poly),LongParameterList
3,DT,SVM(Sig),Wilcoxon,Reject,DT,SVM(Sig),Reject,DT,SVM(Sig),LongParameterList
4,DT,SVM(RBF),Wilcoxon,Reject,DT,SVM(RBF),Reject,DT,SVM(RBF),LongParameterList
5,DT,MLP,Wilcoxon,Reject,DT,MLP,Reject,DT,MLP,LongParameterList
6,DT,SGD,Wilcoxon,Reject,DT,SGD,Reject,DT,SGD,LongParameterList
7,DT,GP,Wilcoxon,Accept,,,Accept,,,LongParameterList
8,DT,NB(B),Wilcoxon,Reject,DT,NB(B),Reject,DT,NB(B),LongParameterList
9,DT,NB(G),Wilcoxon,Reject,DT,NB(G),Reject,DT,NB(G),LongParameterList
10,DT,NB(M),Wilcoxon,Reject,DT,NB(M),Reject,DT,NB(M),LongParameterList
11,DT,LDA,Wilcoxon,Reject,DT,LDA,Reject,DT,LDA,LongParameterList
12,DT,KNN,Wilcoxon,Reject,DT,KNN,Reject,DT,KNN,LongParameterList
13,DT,Stack-LR,Wilcoxon,Reject,Stack-LR,DT,Accept,,,LongParameterList
14,DT,Stack-DT,Wilcoxon,Reject,DT,Stack-DT,Reject,DT,Stack-DT,LongParameterList
15,DT,Stack-SVM,Wilcoxon,Accept,,,Accept,,,LongParameterList
16,LR,SVM(Lin),Wilcoxon,Reject,SVM(Lin),LR,Reject,SVM(Lin),LR,LongParameterList
17,LR,SVM(Poly),Wilcoxon,Reject,SVM(Poly),LR,Accept,,,LongParameterList
18,LR,SVM(Sig),Wilcoxon,Reject,LR,SVM(Sig),Reject,LR,SVM(Sig),LongParameterList
19,LR,SVM(RBF),Wilcoxon,Reject,LR,SVM(RBF),Accept,,,LongParameterList
20,LR,MLP,Wilcoxon,Reject,MLP,LR,Accept,,,LongParameterList
21,LR,SGD,Wilcoxon,Reject,LR,SGD,Reject,LR,SGD,LongParameterList
22,LR,GP,Wilcoxon,Reject,GP,LR,Reject,GP,LR,LongParameterList
23,LR,NB(B),Wilcoxon,Reject,LR,NB(B),Reject,LR,NB(B),LongParameterList
24,LR,NB(G),Wilcoxon,Reject,LR,NB(G),Reject,LR,NB(G),LongParameterList
25,LR,NB(M),Wilcoxon,Reject,LR,NB(M),Reject,LR,NB(M),LongParameterList
26,LR,LDA,Wilcoxon,Reject,LDA,LR,Accept,,,LongParameterList
27,LR,KNN,Wilcoxon,Reject,LR,KNN,Reject,LR,KNN,LongParameterList
28,LR,Stack-LR,Wilcoxon,Reject,Stack-LR,LR,Reject,Stack-LR,LR,LongParameterList
29,LR,Stack-DT,Wilcoxon,Reject,LR,Stack-DT,Accept,,,LongParameterList
30,LR,Stack-SVM,Wilcoxon,Reject,Stack-SVM,LR,Reject,Stack-SVM,LR,LongParameterList
31,SVM(Lin),SVM(Poly),Wilcoxon,Accept,,,Accept,,,LongParameterList
32,SVM(Lin),SVM(Sig),Wilcoxon,Reject,SVM(Lin),SVM(Sig),Reject,SVM(Lin),SVM(Sig),LongParameterList
33,SVM(Lin),SVM(RBF),Wilcoxon,Reject,SVM(Lin),SVM(RBF),Reject,SVM(Lin),SVM(RBF),LongParameterList
34,SVM(Lin),MLP,Wilcoxon,Accept,,,Accept,,,LongParameterList
35,SVM(Lin),SGD,Wilcoxon,Reject,SVM(Lin),SGD,Reject,SVM(Lin),SGD,LongParameterList
36,SVM(Lin),GP,Wilcoxon,Reject,GP,SVM(Lin),Reject,GP,SVM(Lin),LongParameterList
37,SVM(Lin),NB(B),Wilcoxon,Reject,SVM(Lin),NB(B),Reject,SVM(Lin),NB(B),LongParameterList
38,SVM(Lin),NB(G),Wilcoxon,Reject,SVM(Lin),NB(G),Reject,SVM(Lin),NB(G),LongParameterList
39,SVM(Lin),NB(M),Wilcoxon,Reject,SVM(Lin),NB(M),Reject,SVM(Lin),NB(M),LongParameterList
40,SVM(Lin),LDA,Wilcoxon,Accept,,,Accept,,,LongParameterList
41,SVM(Lin),KNN,Wilcoxon,Reject,SVM(Lin),KNN,Reject,SVM(Lin),KNN,LongParameterList
42,SVM(Lin),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Lin),Reject,Stack-LR,SVM(Lin),LongParameterList
43,SVM(Lin),Stack-DT,Wilcoxon,Reject,SVM(Lin),Stack-DT,Reject,SVM(Lin),Stack-DT,LongParameterList
44,SVM(Lin),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Lin),Reject,Stack-SVM,SVM(Lin),LongParameterList
45,SVM(Poly),SVM(Sig),Wilcoxon,Reject,SVM(Poly),SVM(Sig),Reject,SVM(Poly),SVM(Sig),LongParameterList
46,SVM(Poly),SVM(RBF),Wilcoxon,Reject,SVM(Poly),SVM(RBF),Reject,SVM(Poly),SVM(RBF),LongParameterList
47,SVM(Poly),MLP,Wilcoxon,Accept,,,Accept,,,LongParameterList
48,SVM(Poly),SGD,Wilcoxon,Reject,SVM(Poly),SGD,Reject,SVM(Poly),SGD,LongParameterList
49,SVM(Poly),GP,Wilcoxon,Reject,GP,SVM(Poly),Reject,GP,SVM(Poly),LongParameterList
50,SVM(Poly),NB(B),Wilcoxon,Reject,SVM(Poly),NB(B),Reject,SVM(Poly),NB(B),LongParameterList
51,SVM(Poly),NB(G),Wilcoxon,Reject,SVM(Poly),NB(G),Reject,SVM(Poly),NB(G),LongParameterList
52,SVM(Poly),NB(M),Wilcoxon,Reject,SVM(Poly),NB(M),Reject,SVM(Poly),NB(M),LongParameterList
53,SVM(Poly),LDA,Wilcoxon,Accept,,,Accept,,,LongParameterList
54,SVM(Poly),KNN,Wilcoxon,Reject,SVM(Poly),KNN,Reject,SVM(Poly),KNN,LongParameterList
55,SVM(Poly),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Poly),Reject,Stack-LR,SVM(Poly),LongParameterList
56,SVM(Poly),Stack-DT,Wilcoxon,Reject,SVM(Poly),Stack-DT,Reject,SVM(Poly),Stack-DT,LongParameterList
57,SVM(Poly),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Poly),Reject,Stack-SVM,SVM(Poly),LongParameterList
58,SVM(Sig),SVM(RBF),Wilcoxon,Reject,SVM(RBF),SVM(Sig),Reject,SVM(RBF),SVM(Sig),LongParameterList
59,SVM(Sig),MLP,Wilcoxon,Reject,MLP,SVM(Sig),Reject,MLP,SVM(Sig),LongParameterList
60,SVM(Sig),SGD,Wilcoxon,Reject,SGD,SVM(Sig),Reject,SGD,SVM(Sig),LongParameterList
61,SVM(Sig),GP,Wilcoxon,Reject,GP,SVM(Sig),Reject,GP,SVM(Sig),LongParameterList
62,SVM(Sig),NB(B),Wilcoxon,Reject,SVM(Sig),NB(B),Accept,,,LongParameterList
63,SVM(Sig),NB(G),Wilcoxon,Reject,NB(G),SVM(Sig),Reject,NB(G),SVM(Sig),LongParameterList
64,SVM(Sig),NB(M),Wilcoxon,Reject,NB(M),SVM(Sig),Reject,NB(M),SVM(Sig),LongParameterList
65,SVM(Sig),LDA,Wilcoxon,Reject,LDA,SVM(Sig),Reject,LDA,SVM(Sig),LongParameterList
66,SVM(Sig),KNN,Wilcoxon,Reject,KNN,SVM(Sig),Reject,KNN,SVM(Sig),LongParameterList
67,SVM(Sig),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Sig),Reject,Stack-LR,SVM(Sig),LongParameterList
68,SVM(Sig),Stack-DT,Wilcoxon,Reject,Stack-DT,SVM(Sig),Reject,Stack-DT,SVM(Sig),LongParameterList
69,SVM(Sig),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Sig),Reject,Stack-SVM,SVM(Sig),LongParameterList
70,SVM(RBF),MLP,Wilcoxon,Reject,MLP,SVM(RBF),Reject,MLP,SVM(RBF),LongParameterList
71,SVM(RBF),SGD,Wilcoxon,Reject,SVM(RBF),SGD,Reject,SVM(RBF),SGD,LongParameterList
72,SVM(RBF),GP,Wilcoxon,Reject,GP,SVM(RBF),Reject,GP,SVM(RBF),LongParameterList
73,SVM(RBF),NB(B),Wilcoxon,Reject,SVM(RBF),NB(B),Reject,SVM(RBF),NB(B),LongParameterList
74,SVM(RBF),NB(G),Wilcoxon,Reject,SVM(RBF),NB(G),Reject,SVM(RBF),NB(G),LongParameterList
75,SVM(RBF),NB(M),Wilcoxon,Reject,SVM(RBF),NB(M),Reject,SVM(RBF),NB(M),LongParameterList
76,SVM(RBF),LDA,Wilcoxon,Reject,LDA,SVM(RBF),Reject,LDA,SVM(RBF),LongParameterList
77,SVM(RBF),KNN,Wilcoxon,Reject,SVM(RBF),KNN,Reject,SVM(RBF),KNN,LongParameterList
78,SVM(RBF),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(RBF),Reject,Stack-LR,SVM(RBF),LongParameterList
79,SVM(RBF),Stack-DT,Wilcoxon,Accept,,,Accept,,,LongParameterList
80,SVM(RBF),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(RBF),Reject,Stack-SVM,SVM(RBF),LongParameterList
81,MLP,SGD,Wilcoxon,Reject,MLP,SGD,Reject,MLP,SGD,LongParameterList
82,MLP,GP,Wilcoxon,Reject,GP,MLP,Reject,GP,MLP,LongParameterList
83,MLP,NB(B),Wilcoxon,Reject,MLP,NB(B),Reject,MLP,NB(B),LongParameterList
84,MLP,NB(G),Wilcoxon,Reject,MLP,NB(G),Reject,MLP,NB(G),LongParameterList
85,MLP,NB(M),Wilcoxon,Reject,MLP,NB(M),Reject,MLP,NB(M),LongParameterList
86,MLP,LDA,Wilcoxon,Accept,,,Accept,,,LongParameterList
87,MLP,KNN,Wilcoxon,Reject,MLP,KNN,Reject,MLP,KNN,LongParameterList
88,MLP,Stack-LR,Wilcoxon,Reject,Stack-LR,MLP,Reject,Stack-LR,MLP,LongParameterList
89,MLP,Stack-DT,Wilcoxon,Reject,MLP,Stack-DT,Accept,,,LongParameterList
90,MLP,Stack-SVM,Wilcoxon,Reject,Stack-SVM,MLP,Reject,Stack-SVM,MLP,LongParameterList
91,SGD,GP,Wilcoxon,Reject,GP,SGD,Reject,GP,SGD,LongParameterList
92,SGD,NB(B),Wilcoxon,Reject,SGD,NB(B),Reject,SGD,NB(B),LongParameterList
93,SGD,NB(G),Wilcoxon,Reject,NB(G),SGD,Accept,,,LongParameterList
94,SGD,NB(M),Wilcoxon,Accept,,,Accept,,,LongParameterList
95,SGD,LDA,Wilcoxon,Reject,LDA,SGD,Reject,LDA,SGD,LongParameterList
96,SGD,KNN,Wilcoxon,Reject,KNN,SGD,Reject,KNN,SGD,LongParameterList
97,SGD,Stack-LR,Wilcoxon,Reject,Stack-LR,SGD,Reject,Stack-LR,SGD,LongParameterList
98,SGD,Stack-DT,Wilcoxon,Reject,Stack-DT,SGD,Reject,Stack-DT,SGD,LongParameterList
99,SGD,Stack-SVM,Wilcoxon,Reject,Stack-SVM,SGD,Reject,Stack-SVM,SGD,LongParameterList
100,GP,NB(B),Wilcoxon,Reject,GP,NB(B),Reject,GP,NB(B),LongParameterList
101,GP,NB(G),Wilcoxon,Reject,GP,NB(G),Reject,GP,NB(G),LongParameterList
102,GP,NB(M),Wilcoxon,Reject,GP,NB(M),Reject,GP,NB(M),LongParameterList
103,GP,LDA,Wilcoxon,Reject,GP,LDA,Reject,GP,LDA,LongParameterList
104,GP,KNN,Wilcoxon,Reject,GP,KNN,Reject,GP,KNN,LongParameterList
105,GP,Stack-LR,Wilcoxon,Reject,Stack-LR,GP,Accept,,,LongParameterList
106,GP,Stack-DT,Wilcoxon,Reject,GP,Stack-DT,Reject,GP,Stack-DT,LongParameterList
107,GP,Stack-SVM,Wilcoxon,Accept,,,Accept,,,LongParameterList
108,NB(B),NB(G),Wilcoxon,Reject,NB(G),NB(B),Reject,NB(G),NB(B),LongParameterList
109,NB(B),NB(M),Wilcoxon,Reject,NB(M),NB(B),Reject,NB(M),NB(B),LongParameterList
110,NB(B),LDA,Wilcoxon,Reject,LDA,NB(B),Reject,LDA,NB(B),LongParameterList
111,NB(B),KNN,Wilcoxon,Reject,KNN,NB(B),Reject,KNN,NB(B),LongParameterList
112,NB(B),Stack-LR,Wilcoxon,Reject,Stack-LR,NB(B),Reject,Stack-LR,NB(B),LongParameterList
113,NB(B),Stack-DT,Wilcoxon,Reject,Stack-DT,NB(B),Reject,Stack-DT,NB(B),LongParameterList
114,NB(B),Stack-SVM,Wilcoxon,Reject,Stack-SVM,NB(B),Reject,Stack-SVM,NB(B),LongParameterList
115,NB(G),NB(M),Wilcoxon,Reject,NB(G),NB(M),Accept,,,LongParameterList
116,NB(G),LDA,Wilcoxon,Reject,LDA,NB(G),Reject,LDA,NB(G),LongParameterList
117,NB(G),KNN,Wilcoxon,Accept,,,Accept,,,LongParameterList
118,NB(G),Stack-LR,Wilcoxon,Reject,Stack-LR,NB(G),Reject,Stack-LR,NB(G),LongParameterList
119,NB(G),Stack-DT,Wilcoxon,Reject,Stack-DT,NB(G),Reject,Stack-DT,NB(G),LongParameterList
120,NB(G),Stack-SVM,Wilcoxon,Reject,Stack-SVM,NB(G),Reject,Stack-SVM,NB(G),LongParameterList
121,NB(M),LDA,Wilcoxon,Reject,LDA,NB(M),Reject,LDA,NB(M),LongParameterList
122,NB(M),KNN,Wilcoxon,Reject,KNN,NB(M),Reject,KNN,NB(M),LongParameterList
123,NB(M),Stack-LR,Wilcoxon,Reject,Stack-LR,NB(M),Reject,Stack-LR,NB(M),LongParameterList
124,NB(M),Stack-DT,Wilcoxon,Reject,Stack-DT,NB(M),Reject,Stack-DT,NB(M),LongParameterList
125,NB(M),Stack-SVM,Wilcoxon,Reject,Stack-SVM,NB(M),Reject,Stack-SVM,NB(M),LongParameterList
126,LDA,KNN,Wilcoxon,Reject,LDA,KNN,Reject,LDA,KNN,LongParameterList
127,LDA,Stack-LR,Wilcoxon,Reject,Stack-LR,LDA,Reject,Stack-LR,LDA,LongParameterList
128,LDA,Stack-DT,Wilcoxon,Reject,LDA,Stack-DT,Accept,,,LongParameterList
129,LDA,Stack-SVM,Wilcoxon,Reject,Stack-SVM,LDA,Reject,Stack-SVM,LDA,LongParameterList
130,KNN,Stack-LR,Wilcoxon,Reject,Stack-LR,KNN,Reject,Stack-LR,KNN,LongParameterList
131,KNN,Stack-DT,Wilcoxon,Reject,Stack-DT,KNN,Reject,Stack-DT,KNN,LongParameterList
132,KNN,Stack-SVM,Wilcoxon,Reject,Stack-SVM,KNN,Reject,Stack-SVM,KNN,LongParameterList
133,Stack-LR,Stack-DT,Wilcoxon,Reject,Stack-LR,Stack-DT,Reject,Stack-LR,Stack-DT,LongParameterList
134,Stack-LR,Stack-SVM,Wilcoxon,Reject,Stack-LR,Stack-SVM,Accept,,,LongParameterList
135,Stack-DT,Stack-SVM,Wilcoxon,Reject,Stack-SVM,Stack-DT,Reject,Stack-SVM,Stack-DT,LongParameterList
0,DT,LR,Wilcoxon,Accept,,,Accept,,,SwitchStatements
1,DT,SVM(Lin),Wilcoxon,Accept,,,Accept,,,SwitchStatements
2,DT,SVM(Poly),Wilcoxon,Reject,DT,SVM(Poly),Accept,,,SwitchStatements
3,DT,SVM(Sig),Wilcoxon,Reject,DT,SVM(Sig),Reject,DT,SVM(Sig),SwitchStatements
4,DT,SVM(RBF),Wilcoxon,Reject,DT,SVM(RBF),Reject,DT,SVM(RBF),SwitchStatements
5,DT,MLP,Wilcoxon,Reject,MLP,DT,Accept,,,SwitchStatements
6,DT,SGD,Wilcoxon,Reject,DT,SGD,Reject,DT,SGD,SwitchStatements
7,DT,GP,Wilcoxon,Accept,,,Accept,,,SwitchStatements
8,DT,NB(B),Wilcoxon,Reject,DT,NB(B),Reject,DT,NB(B),SwitchStatements
9,DT,NB(G),Wilcoxon,Reject,DT,NB(G),Accept,,,SwitchStatements
10,DT,NB(M),Wilcoxon,Reject,DT,NB(M),Reject,DT,NB(M),SwitchStatements
11,DT,LDA,Wilcoxon,Reject,DT,LDA,Accept,,,SwitchStatements
12,DT,KNN,Wilcoxon,Reject,DT,KNN,Reject,DT,KNN,SwitchStatements
13,DT,Stack-LR,Wilcoxon,Accept,,,Accept,,,SwitchStatements
14,DT,Stack-DT,Wilcoxon,Reject,DT,Stack-DT,Reject,DT,Stack-DT,SwitchStatements
15,DT,Stack-SVM,Wilcoxon,Accept,,,Accept,,,SwitchStatements
16,LR,SVM(Lin),Wilcoxon,Reject,SVM(Lin),LR,Accept,,,SwitchStatements
17,LR,SVM(Poly),Wilcoxon,Reject,LR,SVM(Poly),Accept,,,SwitchStatements
18,LR,SVM(Sig),Wilcoxon,Reject,LR,SVM(Sig),Reject,LR,SVM(Sig),SwitchStatements
19,LR,SVM(RBF),Wilcoxon,Reject,LR,SVM(RBF),Reject,LR,SVM(RBF),SwitchStatements
20,LR,MLP,Wilcoxon,Reject,MLP,LR,Reject,MLP,LR,SwitchStatements
21,LR,SGD,Wilcoxon,Reject,LR,SGD,Reject,LR,SGD,SwitchStatements
22,LR,GP,Wilcoxon,Accept,,,Accept,,,SwitchStatements
23,LR,NB(B),Wilcoxon,Reject,LR,NB(B),Reject,LR,NB(B),SwitchStatements
24,LR,NB(G),Wilcoxon,Reject,LR,NB(G),Accept,,,SwitchStatements
25,LR,NB(M),Wilcoxon,Reject,LR,NB(M),Reject,LR,NB(M),SwitchStatements
26,LR,LDA,Wilcoxon,Accept,,,Accept,,,SwitchStatements
27,LR,KNN,Wilcoxon,Reject,LR,KNN,Reject,LR,KNN,SwitchStatements
28,LR,Stack-LR,Wilcoxon,Reject,Stack-LR,LR,Accept,,,SwitchStatements
29,LR,Stack-DT,Wilcoxon,Reject,LR,Stack-DT,Reject,LR,Stack-DT,SwitchStatements
30,LR,Stack-SVM,Wilcoxon,Reject,Stack-SVM,LR,Accept,,,SwitchStatements
31,SVM(Lin),SVM(Poly),Wilcoxon,Reject,SVM(Lin),SVM(Poly),Accept,,,SwitchStatements
32,SVM(Lin),SVM(Sig),Wilcoxon,Reject,SVM(Lin),SVM(Sig),Reject,SVM(Lin),SVM(Sig),SwitchStatements
33,SVM(Lin),SVM(RBF),Wilcoxon,Reject,SVM(Lin),SVM(RBF),Reject,SVM(Lin),SVM(RBF),SwitchStatements
34,SVM(Lin),MLP,Wilcoxon,Reject,MLP,SVM(Lin),Reject,MLP,SVM(Lin),SwitchStatements
35,SVM(Lin),SGD,Wilcoxon,Reject,SVM(Lin),SGD,Reject,SVM(Lin),SGD,SwitchStatements
36,SVM(Lin),GP,Wilcoxon,Accept,,,Accept,,,SwitchStatements
37,SVM(Lin),NB(B),Wilcoxon,Reject,SVM(Lin),NB(B),Reject,SVM(Lin),NB(B),SwitchStatements
38,SVM(Lin),NB(G),Wilcoxon,Reject,SVM(Lin),NB(G),Accept,,,SwitchStatements
39,SVM(Lin),NB(M),Wilcoxon,Reject,SVM(Lin),NB(M),Reject,SVM(Lin),NB(M),SwitchStatements
40,SVM(Lin),LDA,Wilcoxon,Reject,SVM(Lin),LDA,Accept,,,SwitchStatements
41,SVM(Lin),KNN,Wilcoxon,Reject,SVM(Lin),KNN,Reject,SVM(Lin),KNN,SwitchStatements
42,SVM(Lin),Stack-LR,Wilcoxon,Accept,,,Accept,,,SwitchStatements
43,SVM(Lin),Stack-DT,Wilcoxon,Reject,SVM(Lin),Stack-DT,Reject,SVM(Lin),Stack-DT,SwitchStatements
44,SVM(Lin),Stack-SVM,Wilcoxon,Accept,,,Accept,,,SwitchStatements
45,SVM(Poly),SVM(Sig),Wilcoxon,Reject,SVM(Poly),SVM(Sig),Reject,SVM(Poly),SVM(Sig),SwitchStatements
46,SVM(Poly),SVM(RBF),Wilcoxon,Reject,SVM(Poly),SVM(RBF),Accept,,,SwitchStatements
47,SVM(Poly),MLP,Wilcoxon,Reject,MLP,SVM(Poly),Reject,MLP,SVM(Poly),SwitchStatements
48,SVM(Poly),SGD,Wilcoxon,Reject,SVM(Poly),SGD,Reject,SVM(Poly),SGD,SwitchStatements
49,SVM(Poly),GP,Wilcoxon,Reject,GP,SVM(Poly),Accept,,,SwitchStatements
50,SVM(Poly),NB(B),Wilcoxon,Reject,SVM(Poly),NB(B),Reject,SVM(Poly),NB(B),SwitchStatements
51,SVM(Poly),NB(G),Wilcoxon,Accept,,,Accept,,,SwitchStatements
52,SVM(Poly),NB(M),Wilcoxon,Reject,SVM(Poly),NB(M),Reject,SVM(Poly),NB(M),SwitchStatements
53,SVM(Poly),LDA,Wilcoxon,Accept,,,Accept,,,SwitchStatements
54,SVM(Poly),KNN,Wilcoxon,Reject,SVM(Poly),KNN,Reject,SVM(Poly),KNN,SwitchStatements
55,SVM(Poly),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Poly),Reject,Stack-LR,SVM(Poly),SwitchStatements
56,SVM(Poly),Stack-DT,Wilcoxon,Reject,SVM(Poly),Stack-DT,Accept,,,SwitchStatements
57,SVM(Poly),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Poly),Reject,Stack-SVM,SVM(Poly),SwitchStatements
58,SVM(Sig),SVM(RBF),Wilcoxon,Reject,SVM(RBF),SVM(Sig),Reject,SVM(RBF),SVM(Sig),SwitchStatements
59,SVM(Sig),MLP,Wilcoxon,Reject,MLP,SVM(Sig),Reject,MLP,SVM(Sig),SwitchStatements
60,SVM(Sig),SGD,Wilcoxon,Reject,SGD,SVM(Sig),Reject,SGD,SVM(Sig),SwitchStatements
61,SVM(Sig),GP,Wilcoxon,Reject,GP,SVM(Sig),Reject,GP,SVM(Sig),SwitchStatements
62,SVM(Sig),NB(B),Wilcoxon,Reject,NB(B),SVM(Sig),Reject,NB(B),SVM(Sig),SwitchStatements
63,SVM(Sig),NB(G),Wilcoxon,Reject,NB(G),SVM(Sig),Reject,NB(G),SVM(Sig),SwitchStatements
64,SVM(Sig),NB(M),Wilcoxon,Reject,NB(M),SVM(Sig),Reject,NB(M),SVM(Sig),SwitchStatements
65,SVM(Sig),LDA,Wilcoxon,Reject,LDA,SVM(Sig),Reject,LDA,SVM(Sig),SwitchStatements
66,SVM(Sig),KNN,Wilcoxon,Reject,KNN,SVM(Sig),Reject,KNN,SVM(Sig),SwitchStatements
67,SVM(Sig),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Sig),Reject,Stack-LR,SVM(Sig),SwitchStatements
68,SVM(Sig),Stack-DT,Wilcoxon,Reject,Stack-DT,SVM(Sig),Reject,Stack-DT,SVM(Sig),SwitchStatements
69,SVM(Sig),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Sig),Reject,Stack-SVM,SVM(Sig),SwitchStatements
70,SVM(RBF),MLP,Wilcoxon,Reject,MLP,SVM(RBF),Reject,MLP,SVM(RBF),SwitchStatements
71,SVM(RBF),SGD,Wilcoxon,Reject,SVM(RBF),SGD,Reject,SVM(RBF),SGD,SwitchStatements
72,SVM(RBF),GP,Wilcoxon,Reject,GP,SVM(RBF),Reject,GP,SVM(RBF),SwitchStatements
73,SVM(RBF),NB(B),Wilcoxon,Reject,SVM(RBF),NB(B),Reject,SVM(RBF),NB(B),SwitchStatements
74,SVM(RBF),NB(G),Wilcoxon,Reject,NB(G),SVM(RBF),Accept,,,SwitchStatements
75,SVM(RBF),NB(M),Wilcoxon,Reject,SVM(RBF),NB(M),Accept,,,SwitchStatements
76,SVM(RBF),LDA,Wilcoxon,Reject,LDA,SVM(RBF),Accept,,,SwitchStatements
77,SVM(RBF),KNN,Wilcoxon,Reject,SVM(RBF),KNN,Reject,SVM(RBF),KNN,SwitchStatements
78,SVM(RBF),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(RBF),Reject,Stack-LR,SVM(RBF),SwitchStatements
79,SVM(RBF),Stack-DT,Wilcoxon,Reject,SVM(RBF),Stack-DT,Accept,,,SwitchStatements
80,SVM(RBF),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(RBF),Reject,Stack-SVM,SVM(RBF),SwitchStatements
81,MLP,SGD,Wilcoxon,Reject,MLP,SGD,Reject,MLP,SGD,SwitchStatements
82,MLP,GP,Wilcoxon,Reject,MLP,GP,Reject,MLP,GP,SwitchStatements
